PGN,PG Label
0.0,Torque/Speed Control 1
256.0,Transmission Control 1
512.0,Electronic Brake System #1/1
768.0,Electronic Brake System #2/1
1024.0,External Brake Request
1280.0,CANopen Application Message #1/1
1536.0,CANopen Application Message #2/1
1792.0,General Purpose Valve Pressure
2048.0,Auxiliary Input/Output Status 5
2304.0,Static Roll Angle Sensor Information
2560.0,Cruise Control / Vehicle Speed 2
2816.0,Advanced Emergency Braking System 2
3072.0,Electronic Engine Controller 16
3328.0,Transmission Control 2
3584.0,Safety Header Message
3840.0,High Voltage Energy Storage Pack 11 Control 1
4096.0,High Voltage Energy Storage Pack 12 Control 1
4352.0,High Voltage Energy Storage Pack 13 Control 1
4608.0,High Voltage Energy Storage Pack 14 Control 1
4864.0,High Voltage Energy Storage Pack 15 Control 1
5120.0,High Voltage Energy Storage Pack 16 Control 1
5376.0,High Voltage Energy Storage Pack 17 Control 1
5632.0,High Voltage Energy Storage Pack 18 Control 1
5888.0,High Voltage Energy Storage Pack 19 Control 1
6144.0,High Voltage Energy Storage Pack 20 Control 1
6400.0,High Voltage Energy Storage Pack 21 Control 1
6656.0,High Voltage Energy Storage Pack 22 Control 1
6912.0,High Voltage Energy Storage System Control 1
7168.0,Transmission Control 3
7424.0,Engine Ignition Controller
7680.0,Alternator Control
7936.0,High Voltage Energy Storage Pack 23 Control 1
8192.0,High Voltage Energy Storage Pack 24 Control 1
8448.0,High Voltage Energy Storage Pack 25 Control 1
8704.0,High Voltage Energy Storage Pack 26 Control 1
8960.0,Tractor Implement Management (TIM) Server to TIM Client
9216.0,Tractor Implement Management (TIM) Client to TIM Server
9472.0,Multi-PG
9728.0,Motor/Generator 1 Inverter Control
9984.0,Motor/Generator 2 Inverter Control
10240.0,Motor/Generator 1 Inverter Rate Limits Request 1
10496.0,Motor/Generator 2 Inverter Rate Limits Request 1
10752.0,High Voltage Energy Storage Pack 1 Control 1
11008.0,High Voltage Energy Storage Pack 2 Control 1
11264.0,High Voltage Energy Storage Pack 3 Control 1
11520.0,High Voltage Energy Storage Pack 4 Control 1
11776.0,High Voltage Energy Storage Pack 5 Control 1
12032.0,High Voltage Energy Storage Pack 6 Control 1
12288.0,High Voltage Energy Storage Pack 7 Control 1
12544.0,High Voltage Energy Storage Pack 8 Control 1
12800.0,High Voltage Energy Storage Pack 9 Control 1
13056.0,High Voltage Energy Storage Pack 10 Control 1
14592.0,External ACC Acceleration Request
14848.0,Battery Charger 1 Command 1
15104.0,Battery Charger 2 Command 1
18944.0,EV Multi-Connection DC Status 1
19200.0,EV Multi-Connection DC Charging Limits 1
19456.0,Electrified Accessory Engine Coolant Pump Command
19712.0,FD Transport Protocol - Connection Mgmt
19968.0,FD Transport Protocol - Data Transfer
20224.0,Data Transfer Support
20480.0,Monthly Data Transfer
20736.0,Weekly Data Transfer
20992.0,Daily Data Transfer
21248.0,EVSE Control 1
21504.0,Winch Information 3
21760.0,Air Suspension Control 8
22016.0,Motor/Generator 2 Inverter Control 2
22272.0,Motor/Generator 1 Inverter Control 2
22528.0,Hoist Command Information
22784.0,Motor/Generator 2 Inverter Isolation Integrity Request
23040.0,Motor/Generator 1 Inverter Isolation Integrity Request
23296.0,Motor/Generator 2 Inverter Limits Request Power
23552.0,Motor/Generator 2 Inverter Limits Request Mechanical
23808.0,Motor/Generator 2 Inverter Limits Request DC Side
24064.0,Motor/Generator 1 Inverter Limits Request DC Side
24320.0,Motor/Generator 1 Inverter Limits Request Mechanical
24576.0,Motor/Generator 1 Inverter Limits Request Power
24832.0,Personnel Detect Interlock
25088.0,Engine Cylinder Combustion Configuration Feedback
25344.0,Engine Cylinder Combustion Configuration
25600.0,Engine Cylinder Pressure Timing Feedback
25856.0,Engine Cylinder Pressure Timing Configuration
26112.0,Electrified Accessory Generator Coolant Pump Command 
26368.0,Electrified Accessory Generator Coolant Fan Command 
26624.0,On Board Programming 1
26880.0,Marine Control Information Configuration 1
27136.0,Marine Control Information 2
27392.0,Well Stimulation Pump Sensor Calibration Command
27648.0,CiA 602-2 XCP
27904.0,Well Stimulation Pump System Configuration Command
28160.0,Configurable Receive SPNs Command
28416.0,Authentication Client to Authentication Server
28672.0,Authentication Server to Authentication Client
28928.0,Configurable Transmit PGNs Command
29184.0,Oil Debris Monitor Configuration Command
29440.0,Electrified Accessory Propulsion Motor Coolant Fan 3 Command
29696.0,Electrified Accessory Propulsion Motor Coolant Fan 2 Command
29952.0,Electrified Accessory Propulsion Motor Coolant Fan 1 Command
30208.0,Electrified Accessory Power Electronics Coolant Fan 3 Command
30464.0,Electrified Accessory Power Electronics Coolant Fan 2 Command
30720.0,Electrified Accessory Power Electronics Coolant Fan 1 Command
30976.0,Electrified Accessory Propulsion Motor Oil Pump Command
31232.0,Electrified Accessory Propulsion Motor Coolant Pump Command
31488.0,Electrified Accessory Power Electronics Coolant Pump Command
32000.0,Electrified Accessory Motor Command
32256.0,Engine Speed Ramp Rate Boundary Request
32512.0,Tire Sensor Identification Command
32768.0,Hybrid System Control 1
33024.0,Aftertreatment System Control
33280.0,Tire Configuration Command Information
33536.0,Payload Calibration Information Command
33792.0,Aftertreatment 1 Particulate Sensor Control
34048.0,Cab Message 2
34304.0,Switched Power Outputs Command
34560.0,Engine State Requests
34816.0,Radio Beacon Request
35072.0,Running Gear Equipment #2/4
35328.0,Running Gear Equipment #1/2
35584.0,CCP Data Transmission Object
35840.0,CCP Command Receive Object
36096.0,Sequence Control Client-to-Sequence Control Master
36352.0,Sequence Control Master-to-Sequence Control Client
36608.0,Engine Configuration Commands
36864.0,Supplemental Fan Command
37120.0,Vehicle/Chassis Lubrication System 1
37376.0,Aftertreatment 1 Hydrocarbon Doser Information 1
37632.0,NAME Management Message
37888.0,Aftertreatment 1 Diesel Particulate Filter Soot Sensor Calibration
38144.0,Aftertreatment 2 Diesel Particulate Filter Soot Sensor Calibration
38400.0,Low Voltage Disconnect Set Operating Mode
38656.0,Noise Control Status
38912.0,Noise Control 1
39168.0,Joystick Lamp Command Message
39424.0,General Purpose Message #1/8
39680.0,Proprietary Method Identification
39936.0,Auxiliary Input/Output Status 7
40192.0,Auxiliary Input/Output Status 6
40448.0,DTC Counts
40704.0,Immediate Fault Status
40960.0,NTE Status
41216.0,Emission Increasing Auxiliary Emission Control Device Active Time
41472.0,Regulated Exhaust Emission Level Exceedance
41728.0,DTC To Lamp Association
41984.0,Scaled Test Results
42240.0,Auxiliary Input/Output Status 4
42496.0,Auxiliary Input/Output Status 3
42752.0,Auxiliary Input/Output Status 2
43008.0,Text Display
43264.0,Forward Lane Image Command
43520.0,Client (ECU) to File Server message
43776.0,File Server to Client (ECU) message
44032.0,Agricultural Guidance Machine Info
44288.0,Agricultural Guidance System Command
44544.0,Tire Pressure Reference Setting
44800.0,Parameter Locate Message
45056.0,Configuration Identification Message
45312.0,Proprietarily Configurable Message #1
45568.0,Proprietarily Configurable Message #2
45824.0,Proprietarily Configurable Message #3
46080.0,Proprietarily Configurable Message #4
46336.0,Proprietarily Configurable Message #5
46592.0,Proprietarily Configurable Message #6
46848.0,Proprietarily Configurable Message #7
47104.0,Proprietarily Configurable Message #8
47360.0,Proprietarily Configurable Message #9
47616.0,Proprietarily Configurable Message #10
47872.0,Proprietarily Configurable Message #11
48128.0,Proprietarily Configurable Message #12
48384.0,Proprietarily Configurable Message #13
48640.0,Proprietarily Configurable Message #14
48896.0,Proprietarily Configurable Message #15
49152.0,Proprietarily Configurable Message #16
49408.0,Diagnostic Readiness 2
49664.0,Monitor Performance Ratio
49920.0,Individual Clear/Reset Of Active And Previously Active DTC
50176.0,General Purpose Valve Command
50432.0,General Purpose Valve Measured Flow
50688.0,General Purpose Valve Estimated Flow
50944.0,Extended Transport Protocol - Data Transfer
51200.0,Extended Transport Protocol - Connection Management
51456.0,Request 2
51712.0,Transfer
51968.0,Process Data Message
52224.0,Request for Repetition Rate
52480.0,Reserved for ISO 15765-2
52736.0,Reserved for ISO 15765-2
52992.0,Continuous Torque & Speed Limit Request
53248.0,Cab Illumination Message
53504.0,Air Suspension Control 6
53760.0,Air Suspension Control 2
54016.0,Calibration Information
54272.0,Data Security
54528.0,Time/Date Adjust
54784.0,Boot Load Data
55040.0,Binary Data Transfer
55296.0,Memory Access Response
55552.0,Memory Access Request
55808.0,Reserved for ISO 15765-2
56064.0,Reserved for ISO 15765-2
56320.0,Anti-theft Status
56576.0,Anti-theft Request
56832.0,Reset
57088.0,Stop Start Broadcast
57344.0,Cab Message 1
57600.0,General Purpose Message #2/1
57856.0,General Purpose Message #1/1
58112.0,Command Non-continuously Monitored Test
58368.0,Running Gear Equipment #1/1
58624.0,Running Gear Equipment #2/1
58880.0,Virtual Terminal-to-Node
59136.0,Node-to-Virtual Terminal
59392.0,Acknowledgment Message
59904.0,Request
60160.0,Transport Protocol - Data Transfer
60416.0,Transport Protocol - Connection Mgmt
60672.0,Network Layer
60928.0,Address Claimed
61184.0,Proprietary A
61440.0,Electronic Retarder Controller 1
61441.0,Electronic Brake Controller 1
61442.0,Electronic Transmission Controller 1
61443.0,Electronic Engine Controller 2
61444.0,Electronic Engine Controller 1
61445.0,Electronic Transmission Controller 2
61446.0,Electronic Axle Controller 1
61447.0,Forward Lane Image 1
61448.0,Hydraulic Pressure Governor Info
61449.0,Vehicle Dynamic Stability Control 2
61450.0,Engine Gas Flow Rate
61451.0,Electronic Steering Control
61452.0,Electronic Transmission Controller #8
61453.0,Land Leveling System Operational Information
61454.0,Aftertreatment 1 Intake Gas 1
61455.0,Aftertreatment 1 Outlet Gas 1
61456.0,Aftertreatment 2 Intake Gas 1
61457.0,Aftertreatment 2 Outlet Gas 1
61458.0,Fifth Wheel Smart Systems 1
61459.0,Slope Sensor Information
61460.0,Blade Information
61461.0,Requested Generator Total AC Reactive Power
61462.0,Cylinder Combustion Status
61463.0,Engine Knock Level #1
61464.0,Engine Knock Level #2
61465.0,Engine Knock Level #3
61466.0,Engine Throttle / Fuel Actuator Control Command
61467.0,General Purpose Message #1/7
61468.0,Requested Generator Average Basic AC Quantities
61469.0,Steering Angle Sensor Information
61470.0,Generator Control 2
61471.0,Electronic Brake System #2/6
61472.0,Electronic Brake System #2/5
61473.0,Engine Speed Sensor Information 1
61474.0,Machine Selected Speed
61475.0,Aftertreatment 1 SCR Dosing System Information 1
61476.0,Aftertreatment 1 SCR Dosing System Requests 1
61477.0,Aftertreatment 1 SCR Ammonia Information
61478.0,Aftertreatment 2 SCR Dosing System Information 1
61479.0,Aftertreatment 2 SCR Dosing System Requests 1
61480.0,Aftertreatment 2 SCR Ammonia Information
61481.0,Slope Sensor Information 2
61482.0,Angular Rate Information
61483.0,Crash Notification
61484.0,Magnet Status Information 2
61485.0,Acceleration Sensor
61486.0,Engine Turbocharger Control
61487.0,Advanced Emergency Braking System 1
61488.0,Wireless Status
61489.0,Wand Sensor
61490.0,Linear Displacement Sensor
61491.0,Aftertreatment 1 SCR Ammonia Information 2
61492.0,Aftertreatment 2 SCR Ammonia Information 2
61494.0,High Voltage Energy Storage System Status 2
61495.0,Engine Turbocharger Blowoff Actuator 1
61496.0,Engine Torque / Fuel Request
61497.0,Engine Air System Information
61498.0,Engine Cylinder 1 Combustion Information
61499.0,Engine Cylinder 2 Combustion Information
61500.0,Engine Cylinder 3 Combustion Information
61501.0,Engine Cylinder 4 Combustion Information
61502.0,Engine Cylinder 5 Combustion Information
61503.0,Engine Cylinder 6 Combustion Information
61504.0,Engine Cylinder 7 Combustion Information
61505.0,Engine Cylinder 8 Combustion Information
61506.0,Engine Cylinder 9 Combustion Information
61507.0,Engine Cylinder 10 Combustion Information
61508.0,Engine Cylinder 11 Combustion Information
61509.0,Engine Cylinder 12 Combustion Information
61510.0,Engine Cylinder 13 Combustion Information
61511.0,Engine Cylinder 14 Combustion Information
61512.0,Engine Cylinder 15 Combustion Information
61513.0,Engine Cylinder 16 Combustion Information
61514.0,Engine Cylinder 17 Combustion Information
61515.0,Engine Cylinder 18 Combustion Information
61516.0,Engine Cylinder 19 Combustion Information
61517.0,Engine Cylinder 20 Combustion Information
61518.0,Engine Cylinder 1 Combustion Average Information
61519.0,Engine Cylinder 2 Combustion Average Information
61520.0,Engine Cylinder 3 Combustion Average Information
61521.0,Engine Cylinder 4 Combustion Average Information
61522.0,Engine Cylinder 5 Combustion Average Information
61523.0,Engine Cylinder 6 Combustion Average Information
61524.0,Engine Cylinder 7 Combustion Average Information
61525.0,Engine Cylinder 8 Combustion Average Information
61526.0,Engine Cylinder 9 Combustion Average Information
61527.0,Engine Cylinder 10 Combustion Average Information
61528.0,Engine Cylinder 11 Combustion Average Information
61529.0,Engine Cylinder 12 Combustion Average Information
61530.0,Engine Cylinder 13 Combustion Average Information
61531.0,Engine Cylinder 14 Combustion Average Information
61532.0,Engine Cylinder 15 Combustion Average Information
61533.0,Engine Cylinder 16 Combustion Average Information
61534.0,Engine Cylinder 17 Combustion Average Information
61535.0,Engine Cylinder 18 Combustion Average Information
61536.0,Engine Cylinder 19 Combustion Average Information
61537.0,Engine Cylinder 20 Combustion Average Information
61538.0,Electronic Transmission Controller #12
61539.0,Fuel Information 5 (Gaseous)
61540.0,Engine Gaseous Fuel Valve Duration Command 1
61541.0,Engine Gaseous Fuel Valve Duration Command 2
61542.0,Engine Gaseous Fuel Valve Duration Command 3
61543.0,Engine Gaseous Fuel Valve Duration Command 4
61544.0,Engine Gaseous Fuel Valve Duration Command 5
61545.0,Engine Gaseous Fuel Valve Start of Actuation Command 1
61546.0,Engine Gaseous Fuel Valve Start of Actuation Command 2
61547.0,Engine Gaseous Fuel Valve Start of Actuation Command 3
61548.0,Engine Gaseous Fuel Valve Start of Actuation Command 4
61549.0,Engine Gaseous Fuel Valve Start of Actuation Command 5
61550.0,Fuel Pump Actuator Control Command
61551.0,Power Converter 1 Control 1
61552.0,Power Converter 2 Control 1
61553.0,Power Converter 1 Rate Limits Request 1
61554.0,Power Converter 2 Rate Limits Request 1
61555.0,Power Converter 2 Control 2
61556.0,Power Converter 1 Control 2
61557.0,Power Converter 1 Mode Feedback 1
61558.0,Power Converter 1 Limits Active Power
61559.0,Power Converter 1 Limits Active Electrical
61560.0,Power Converter 1 Limits Active DC Energy Source 1
61561.0,Power Converter 1 Low Voltage
61562.0,Power Converter 2 Mode Feedback 1
61563.0,Power Converter 2 Limits Active Power
61564.0,Power Converter 2 Limits Active Electrical
61565.0,Power Converter 2 Limits Active DC Energy Source 1
61566.0,Power Converter 2 Low Voltage
61567.0,Power Converter 1 Status 2
61568.0,Power Converter 1 Rate Limits Active 1
61569.0,Power Converter 2 Status 2
61570.0,Power Converter 2 Rate Limits Active 1
61571.0,Power Converter 2 Isolation Integrity
61572.0,Power Converter 1 Isolation Integrity
61573.0,Power Converter 2 Status 1
61574.0,Power Converter 1 Status 1
61584.0,High Voltage Energy Storage System Data 1
61585.0,High Voltage Energy Storage System Data 2
61586.0,High Voltage Energy Storage System Data 3
61587.0,High Voltage Energy Storage System Data 4
